#virus-ID,virus-name,virus-protein
28285,Human adenovirus 5|Adenovirus 5|Adenovirus type 5|Human adenovirus C5|Human adenovirus type 5|Human mastadenovirus 5|Mastadenovirus 5|Mastadenovirus h5|adenovirus Ad5|adenovirus type 5 AD5,CORE5|CORE5_ADE05
28285,Human adenovirus 5|Adenovirus 5|Adenovirus type 5|Human adenovirus C5|Human adenovirus type 5|Human mastadenovirus 5|Mastadenovirus 5|Mastadenovirus h5|adenovirus Ad5|adenovirus type 5 AD5,E411|E411_ADE05
28285,Human adenovirus 5|Adenovirus 5|Adenovirus type 5|Human adenovirus C5|Human adenovirus type 5|Human mastadenovirus 5|Mastadenovirus 5|Mastadenovirus h5|adenovirus Ad5|adenovirus type 5 AD5,Q2KRY7|Q2KRY7_ADE05
28285,Human adenovirus 5|Adenovirus 5|Adenovirus type 5|Human adenovirus C5|Human adenovirus type 5|Human mastadenovirus 5|Mastadenovirus 5|Mastadenovirus h5|adenovirus Ad5|adenovirus type 5 AD5,CAP9|CAP9_ADE05
28285,Human adenovirus 5|Adenovirus 5|Adenovirus type 5|Human adenovirus C5|Human adenovirus type 5|Human mastadenovirus 5|Mastadenovirus 5|Mastadenovirus h5|adenovirus Ad5|adenovirus type 5 AD5,NP|NP_ADE05
28285,Human adenovirus 5|Adenovirus 5|Adenovirus type 5|Human adenovirus C5|Human adenovirus type 5|Human mastadenovirus 5|Mastadenovirus 5|Mastadenovirus h5|adenovirus Ad5|adenovirus type 5 AD5,Q6VGW0|Q6VGW0_ADE05
28285,Human adenovirus 5|Adenovirus 5|Adenovirus type 5|Human adenovirus C5|Human adenovirus type 5|Human mastadenovirus 5|Mastadenovirus 5|Mastadenovirus h5|adenovirus Ad5|adenovirus type 5 AD5,Q6VGS8|Q6VGS8_ADE05
39002,Puumala virus sotkamo/v-2969/81|Puumala virus (strain sotkamo/v-2969/81),NCAP|NCAP_PUUMS
10580,Human papillomavirus type 11|HPV 11|HPV-11|Human papillomavirus - 11,VL2|VL2_HPV11
10580,Human papillomavirus type 11|HPV 11|HPV-11|Human papillomavirus - 11,VL1|VL1_HPV11
10580,Human papillomavirus type 11|HPV 11|HPV-11|Human papillomavirus - 11,VE6|VE6_HPV11
10580,Human papillomavirus type 11|HPV 11|HPV-11|Human papillomavirus - 11,VE1|VE1_HPV11
10580,Human papillomavirus type 11|HPV 11|HPV-11|Human papillomavirus - 11,VE7|VE7_HPV11
10580,Human papillomavirus type 11|HPV 11|HPV-11|Human papillomavirus - 11,B9UPF3|B9UPF3_HPV11
10580,Human papillomavirus type 11|HPV 11|HPV-11|Human papillomavirus - 11,VE2|VE2_HPV11
10580,Human papillomavirus type 11|HPV 11|HPV-11|Human papillomavirus - 11,D7GMA9|D7GMA9_HPV11
