#virus-ID,virus-name,virus-protein
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),LTP|LTP_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),ICP0|ICP0_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),US9|US9_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),NEC1|NEC1_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),EV45|EV45_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),ICP22|ICP22_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),GE|GE_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),TEG1|TEG1_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),MCP|MCP_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),UNG|UNG_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),UL20|UL20_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),AN|AN_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),TEG4|TEG4_HHV11
10519,Human adenovirus 7|Adenovirus 7|Adenovirus type 7|Human adenovirus B7|Human adenovirus serotype 7|Human adenovirus type 7|Human adenoviruses type 7|Human mastadenovirus 7|Mastadenovirus 7|Mastadenovirus h7|Mastadenovirus p7|human adenovirus type 7 Ad7,Q9PX39|Q9PX39_ADE07
130310,Human mastadenovirus D|HAdV-D|Human adenovirus D,B6DUB2|B6DUB2_9ADEN
35304,Bunyamwera virus|Bunyamwera bunyavirus group|Bunyamwera serogroup|Bunyamwera virus group,NSS|NSS_BUNYW
10335,Human alphaherpesvirus 3|HHV-3|VZV|Human herpes virus 3|Human herpesvirus 3|Varicella Zoster Virus|varicella zoster virus VZV|varicella-zoster virus VZV,Q6QCP6|Q6QCP6_HHV3
10335,Human alphaherpesvirus 3|HHV-3|VZV|Human herpes virus 3|Human herpesvirus 3|Varicella Zoster Virus|varicella zoster virus VZV|varicella-zoster virus VZV,Q6QCM6|Q6QCM6_HHV3
10588,Human papillomavirus type 39|Human papillomavirus - 39,VE6|VE6_HPV39
10588,Human papillomavirus type 39|Human papillomavirus - 39,VE2|VE2_HPV39
714978,Human adenovirus 55|Human adenovirus B55,C7SRR3|C7SRR3_9ADEN
162013,Tioman virus,Q91NG9|Q91NG9_9MONO
2169971,Visna-maedi virus|Maedi visna virus|Maedi visna virus MVV|Maedi-Visna virus|Maedi/Visna virus|Visna lentivirus|Visna virus|Visna/maedi virus,NP|NP_040842
2169971,Visna-maedi virus|Maedi visna virus|Maedi visna virus MVV|Maedi-Visna virus|Maedi/Visna virus|Visna lentivirus|Visna virus|Visna/maedi virus,NP|NP_040844
354090,UR2 sarcoma virus|Avian sarcoma virus (STRAIN UR2)|Avian sarcoma virus UR2,GAG|GAG_AVISU
578843,Rotavirus A human/BEL/4106/2000 G3P11[14]|Rotavirus A (isolate Human/Belgium/4106/2000 G3-P11[14]),NSP4|NSP4_ROT41
578843,Rotavirus A human/BEL/4106/2000 G3P11[14]|Rotavirus A (isolate Human/Belgium/4106/2000 G3-P11[14]),NSP3|NSP3_ROT41
380337,Influenza A virus (A/equine/Prague/1/1956(H7N7))|Influenza A virus (A/eq/Prague/1/1956(H7N7))|Influenza A virus (A/equine/Prague/1/56 (H7N7))|Influenza A virus (A/equine/Praque/1/1956(H7N7))|Influenza A virus (A/equine/prague/56(H7N7))|Influenza A virus (STRAIN A/EQUINE/PRAGUE/1/56),NEP|NEP_I56A3
380337,Influenza A virus (A/equine/Prague/1/1956(H7N7))|Influenza A virus (A/eq/Prague/1/1956(H7N7))|Influenza A virus (A/equine/Prague/1/56 (H7N7))|Influenza A virus (A/equine/Praque/1/1956(H7N7))|Influenza A virus (A/equine/prague/56(H7N7))|Influenza A virus (STRAIN A/EQUINE/PRAGUE/1/56),NS1|NS1_I56A3
435895,Human herpesvirus 8 type M,P88933|P88933_HHV8
435895,Human herpesvirus 8 type M,P88947|P88947_HHV8
435895,Human herpesvirus 8 type M,P88962|P88962_HHV8
435895,Human herpesvirus 8 type M,P88911|P88911_HHV8
435895,Human herpesvirus 8 type M,Q76SB1|Q76SB1_HHV8
435895,Human herpesvirus 8 type M,P90486|P90486_HHV8
435895,Human herpesvirus 8 type M,P88931|P88931_HHV8
435895,Human herpesvirus 8 type M,P88926|P88926_HHV8
435895,Human herpesvirus 8 type M,P88934|P88934_HHV8
435895,Human herpesvirus 8 type M,P88937|P88937_HHV8
435895,Human herpesvirus 8 type M,Q76SB6|Q76SB6_HHV8
435895,Human herpesvirus 8 type M,P88912|P88912_HHV8
435895,Human herpesvirus 8 type M,P88940|P88940_HHV8
435895,Human herpesvirus 8 type M,P88950|P88950_HHV8
435895,Human herpesvirus 8 type M,P88935|P88935_HHV8
435895,Human herpesvirus 8 type M,P88925|P88925_HHV8
435895,Human herpesvirus 8 type M,P88952|P88952_HHV8
435895,Human herpesvirus 8 type M,P88957|P88957_HHV8
435895,Human herpesvirus 8 type M,P88924|P88924_HHV8
435895,Human herpesvirus 8 type M,P88930|P88930_HHV8
435895,Human herpesvirus 8 type M,P88944|P88944_HHV8
435895,Human herpesvirus 8 type M,P88959|P88959_HHV8
435895,Human herpesvirus 8 type M,P88951|P88951_HHV8
11084,Tick-borne encephalitis virus|TBEV|FSME virus|tick-borne encephalitis virus TBEV,Q88489|Q88489_9FLAV
11084,Tick-borne encephalitis virus|TBEV|FSME virus|tick-borne encephalitis virus TBEV,NP|NP_775511
2043570,Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013|Zika virus isolate ZIKV/H.sapiens/FrenchPolynesia/10087PF/2013,POLG|POLG_ZIKVF
10528,Human adenovirus 18|Adenovirus type 18|Human adenovirus type 18|Mastadenovirus 18,D3JIT8|D3JIT8_ADE18
10528,Human adenovirus 18|Adenovirus type 18|Human adenovirus type 18|Mastadenovirus 18,D3JIT9|D3JIT9_ADE18
52275,Human adenovirus D37|Adenovirus type 37|Human adenovirus 37|Human adenovirus type 37,B9A6D9|B9A6D9_9ADEN
512345,Hepatitis E virus swine/g3/United States/swUS1|Hepatitis E virus genotype 3 (isolate swine/United States/swUS1),POLN|POLN_HEVMG
11045,Rubella virus strain Therien|Rubella virus (strain THERIEN),POLN|POLN_RUBVT
386032,Reston ebolavirus - Reston (1989),VP24|VP24_EBORR
299386,Equine arteritis virus Bucyrus|Equine arteritis virus (strain Bucyrus),RPOA|RPOA_EAVBU
37296,Human gammaherpesvirus 8|HHV8|KSHV|Kaposi's sarcoma-associated herpesvirus|Human herpesvirus 8|Human herpesvirus 8 type P|Kaposi's sarcoma herpesvirus|Kaposi's sarcoma-associated herpes-like virus|Kaposi's sarcoma-associated herpesvirus - Human herpesvirus 8,D0UZS3|D0UZS3_HHV8
37296,Human gammaherpesvirus 8|HHV8|KSHV|Kaposi's sarcoma-associated herpesvirus|Human herpesvirus 8|Human herpesvirus 8 type P|Kaposi's sarcoma herpesvirus|Kaposi's sarcoma-associated herpes-like virus|Kaposi's sarcoma-associated herpesvirus - Human herpesvirus 8,Q9DUM9|Q9DUM9_HHV8
37296,Human gammaherpesvirus 8|HHV8|KSHV|Kaposi's sarcoma-associated herpesvirus|Human herpesvirus 8|Human herpesvirus 8 type P|Kaposi's sarcoma herpesvirus|Kaposi's sarcoma-associated herpes-like virus|Kaposi's sarcoma-associated herpesvirus - Human herpesvirus 8,Q76RI6|Q76RI6_HHV8
37296,Human gammaherpesvirus 8|HHV8|KSHV|Kaposi's sarcoma-associated herpesvirus|Human herpesvirus 8|Human herpesvirus 8 type P|Kaposi's sarcoma herpesvirus|Kaposi's sarcoma-associated herpes-like virus|Kaposi's sarcoma-associated herpesvirus - Human herpesvirus 8,Q98136|Q98136_HHV8
37296,Human gammaherpesvirus 8|HHV8|KSHV|Kaposi's sarcoma-associated herpesvirus|Human herpesvirus 8|Human herpesvirus 8 type P|Kaposi's sarcoma herpesvirus|Kaposi's sarcoma-associated herpes-like virus|Kaposi's sarcoma-associated herpesvirus - Human herpesvirus 8,Q98138|Q98138_HHV8
37296,Human gammaherpesvirus 8|HHV8|KSHV|Kaposi's sarcoma-associated herpesvirus|Human herpesvirus 8|Human herpesvirus 8 type P|Kaposi's sarcoma herpesvirus|Kaposi's sarcoma-associated herpes-like virus|Kaposi's sarcoma-associated herpesvirus - Human herpesvirus 8,Q76RI8|Q76RI8_HHV8
37296,Human gammaherpesvirus 8|HHV8|KSHV|Kaposi's sarcoma-associated herpesvirus|Human herpesvirus 8|Human herpesvirus 8 type P|Kaposi's sarcoma herpesvirus|Kaposi's sarcoma-associated herpes-like virus|Kaposi's sarcoma-associated herpesvirus - Human herpesvirus 8,Q76RH5|Q76RH5_HHV8
37296,Human gammaherpesvirus 8|HHV8|KSHV|Kaposi's sarcoma-associated herpesvirus|Human herpesvirus 8|Human herpesvirus 8 type P|Kaposi's sarcoma herpesvirus|Kaposi's sarcoma-associated herpes-like virus|Kaposi's sarcoma-associated herpesvirus - Human herpesvirus 8,Q76RJ0|Q76RJ0_HHV8
37296,Human gammaherpesvirus 8|HHV8|KSHV|Kaposi's sarcoma-associated herpesvirus|Human herpesvirus 8|Human herpesvirus 8 type P|Kaposi's sarcoma herpesvirus|Kaposi's sarcoma-associated herpes-like virus|Kaposi's sarcoma-associated herpesvirus - Human herpesvirus 8,P88970|P88970_HHV8
37296,Human gammaherpesvirus 8|HHV8|KSHV|Kaposi's sarcoma-associated herpesvirus|Human herpesvirus 8|Human herpesvirus 8 type P|Kaposi's sarcoma herpesvirus|Kaposi's sarcoma-associated herpes-like virus|Kaposi's sarcoma-associated herpesvirus - Human herpesvirus 8,O36551|O36551_HHV8
37296,Human gammaherpesvirus 8|HHV8|KSHV|Kaposi's sarcoma-associated herpesvirus|Human herpesvirus 8|Human herpesvirus 8 type P|Kaposi's sarcoma herpesvirus|Kaposi's sarcoma-associated herpes-like virus|Kaposi's sarcoma-associated herpesvirus - Human herpesvirus 8,Q76RF5|Q76RF5_HHV8
37296,Human gammaherpesvirus 8|HHV8|KSHV|Kaposi's sarcoma-associated herpesvirus|Human herpesvirus 8|Human herpesvirus 8 type P|Kaposi's sarcoma herpesvirus|Kaposi's sarcoma-associated herpes-like virus|Kaposi's sarcoma-associated herpesvirus - Human herpesvirus 8,Q76TK5|Q76TK5_HHV8
37296,Human gammaherpesvirus 8|HHV8|KSHV|Kaposi's sarcoma-associated herpesvirus|Human herpesvirus 8|Human herpesvirus 8 type P|Kaposi's sarcoma herpesvirus|Kaposi's sarcoma-associated herpes-like virus|Kaposi's sarcoma-associated herpesvirus - Human herpesvirus 8,C7E599|C7E599_HHV8
37296,Human gammaherpesvirus 8|HHV8|KSHV|Kaposi's sarcoma-associated herpesvirus|Human herpesvirus 8|Human herpesvirus 8 type P|Kaposi's sarcoma herpesvirus|Kaposi's sarcoma-associated herpes-like virus|Kaposi's sarcoma-associated herpesvirus - Human herpesvirus 8,Q77UV1|Q77UV1_HHV8
37296,Human gammaherpesvirus 8|HHV8|KSHV|Kaposi's sarcoma-associated herpesvirus|Human herpesvirus 8|Human herpesvirus 8 type P|Kaposi's sarcoma herpesvirus|Kaposi's sarcoma-associated herpes-like virus|Kaposi's sarcoma-associated herpesvirus - Human herpesvirus 8,Q77Q82|Q77Q82_HHV8
37296,Human gammaherpesvirus 8|HHV8|KSHV|Kaposi's sarcoma-associated herpesvirus|Human herpesvirus 8|Human herpesvirus 8 type P|Kaposi's sarcoma herpesvirus|Kaposi's sarcoma-associated herpes-like virus|Kaposi's sarcoma-associated herpesvirus - Human herpesvirus 8,Q76RI2|Q76RI2_HHV8
37296,Human gammaherpesvirus 8|HHV8|KSHV|Kaposi's sarcoma-associated herpesvirus|Human herpesvirus 8|Human herpesvirus 8 type P|Kaposi's sarcoma herpesvirus|Kaposi's sarcoma-associated herpes-like virus|Kaposi's sarcoma-associated herpesvirus - Human herpesvirus 8,O92597|O92597_HHV8
37296,Human gammaherpesvirus 8|HHV8|KSHV|Kaposi's sarcoma-associated herpesvirus|Human herpesvirus 8|Human herpesvirus 8 type P|Kaposi's sarcoma herpesvirus|Kaposi's sarcoma-associated herpes-like virus|Kaposi's sarcoma-associated herpesvirus - Human herpesvirus 8,Q98143|Q98143_HHV8
37296,Human gammaherpesvirus 8|HHV8|KSHV|Kaposi's sarcoma-associated herpesvirus|Human herpesvirus 8|Human herpesvirus 8 type P|Kaposi's sarcoma herpesvirus|Kaposi's sarcoma-associated herpes-like virus|Kaposi's sarcoma-associated herpesvirus - Human herpesvirus 8,Q76RG2|Q76RG2_HHV8
10621,Human papillomavirus 9|Human papillomavirus - 9|Human papillomavirus type 9,VE6|VE6_HPV09
10621,Human papillomavirus 9|Human papillomavirus - 9|Human papillomavirus type 9,VE2|VE2_HPV09
10621,Human papillomavirus 9|Human papillomavirus - 9|Human papillomavirus type 9,VE7|VE7_HPV09
46930,Human adenovirus 28|Human adenovirus type 28,C4P224|C4P224_9ADEN
46930,Human adenovirus 28|Human adenovirus type 28,C4P226|C4P226_9ADEN
493803,Merkel cell polyomavirus|MCPyV isolate R17b,B8ZX49|B8ZX49_9POLY
493803,Merkel cell polyomavirus|MCPyV isolate R17b,B8ZX42|B8ZX42_9POLY
10583,Human papillomavirus type 1a,VE6|VE6_HPV1
10583,Human papillomavirus type 1a,VL2|VL2_HPV1
10583,Human papillomavirus type 1a,VE7|VE7_HPV1
10636,Murine polyomavirus strain A2|Mouse polyomavirus (strain A2),LT|LT_POVMA
10636,Murine polyomavirus strain A2|Mouse polyomavirus (strain A2),MT|MT_POVMA
408870,Dengue virus 3 Philippines/H87/1956|Dengue virus type 3 (strain Philippines/H87/1956)|Dengue virus type 3 Philippines/H87/1956,POLG|POLG_DEN3P
10586,Human papillomavirus type 33|Human papilloma virus type 33|Human papillomavirus - 33,VE7|VE7_HPV33
10586,Human papillomavirus type 33|Human papilloma virus type 33|Human papillomavirus - 33,VE6|VE6_HPV33
10586,Human papillomavirus type 33|Human papilloma virus type 33|Human papillomavirus - 33,VE2|VE2_HPV33
10586,Human papillomavirus type 33|Human papilloma virus type 33|Human papillomavirus - 33,VE5|VE5_HPV33
28284,Human adenovirus 40|Adenovirus type 40|Human adenovirus F40|Human adenovirus type 40|Mastadenovirus 40|Mastadenovirus h40,Q64866|Q64866_ADE40
437607,Influenza A virus (A/hvPR8/34(H1N1)),A4ZNQ3|A4ZNQ3_I34A1
437607,Influenza A virus (A/hvPR8/34(H1N1)),A4ZNQ2|A4ZNQ2_I34A1
284218,Influenza A virus (A/Viet Nam/1203/2004(H5N1))|Influenza A virus (A/Vietnam/1203/04(H5N1))|Influenza A virus (A/Vietnam/1203/2004),Q6DNN3|Q6DNN3_9INFA
31635,Dengue virus 2 16681-PDK53|Dengue virus type 2 (strain 16681-PDK53)|Dengue virus type 2 16681-PDK53,POLG|POLG_DEN27
122928,Norovirus GI|Human calicivirus genogroup 1|Norovirus genogroup 1|Norovirus genogroup I|Norwalk-like virus genogroup 1,NP|NP_786945
122928,Norovirus GI|Human calicivirus genogroup 1|Norovirus genogroup 1|Norovirus genogroup I|Norwalk-like virus genogroup 1,NP|NP_786948
402527,Influenza A virus (A/chicken/Scotland/1959(H5N1))|Influenza A virus (A/chicken/Scotland/59(H5N1))|Influenza A virus (STRAIN A/CHICKEN/SCOTLAND/59),NEP|NEP_I59A0
402527,Influenza A virus (A/chicken/Scotland/1959(H5N1))|Influenza A virus (A/chicken/Scotland/59(H5N1))|Influenza A virus (STRAIN A/CHICKEN/SCOTLAND/59),NS1|NS1_I59A0
46922,Human adenovirus 17|Human adenovirus D17|Human adenovirus type 17,F1DT92|F1DT92_ADE17
11660,Caprine arthritis encephalitis virus|CAEV|Caprine arthritis-encephalitis virus|caprine arthritis encephalitis virus CAEV|caprine arthritis-encephalitis virus- CAEV,NP|NP_040941
40051,Bluetongue virus|Bluetongue virus group|bluetongue virus BTV,Q5I3N2|Q5I3N2_9REOV
128951,Ebola virus - Zaire (1995)|Ebola virus (strain Zaire-95)|Ebola virus strain Zaire-95|Zaire ebolavirus - Zaire (1995),VP40|VP40_EBOZ5
333923,Human papillomavirus 5|Human papillomavirus type - 5|Human papillomavirus type 5,VE7|VE7_HPV05
333923,Human papillomavirus 5|Human papillomavirus type - 5|Human papillomavirus type 5,VE2|VE2_HPV05
333923,Human papillomavirus 5|Human papillomavirus type - 5|Human papillomavirus type 5,Q81983|Q81983_HPV05
333923,Human papillomavirus 5|Human papillomavirus type - 5|Human papillomavirus type 5,VE6|VE6_HPV05
128952,Ebola virus - Mayinga- Zaire- 1976|EBOV-May|Ebola virus (strain Zaire Mayinga)|Ebola virus strain Zaire Mayinga|Zaire ebolavirus - Mayinga (Zaire- 1976)|Zaire ebolavirus Mayinga strain,VP40|VP40_EBOZM
128952,Ebola virus - Mayinga- Zaire- 1976|EBOV-May|Ebola virus (strain Zaire Mayinga)|Ebola virus strain Zaire Mayinga|Zaire ebolavirus - Mayinga (Zaire- 1976)|Zaire ebolavirus Mayinga strain,VGP|VGP_EBOZM
128952,Ebola virus - Mayinga- Zaire- 1976|EBOV-May|Ebola virus (strain Zaire Mayinga)|Ebola virus strain Zaire Mayinga|Zaire ebolavirus - Mayinga (Zaire- 1976)|Zaire ebolavirus Mayinga strain,NCAP|NCAP_EBOZM
128952,Ebola virus - Mayinga- Zaire- 1976|EBOV-May|Ebola virus (strain Zaire Mayinga)|Ebola virus strain Zaire Mayinga|Zaire ebolavirus - Mayinga (Zaire- 1976)|Zaire ebolavirus Mayinga strain,VP24|VP24_EBOZM
128952,Ebola virus - Mayinga- Zaire- 1976|EBOV-May|Ebola virus (strain Zaire Mayinga)|Ebola virus strain Zaire Mayinga|Zaire ebolavirus - Mayinga (Zaire- 1976)|Zaire ebolavirus Mayinga strain,VP30|VP30_EBOZM
128952,Ebola virus - Mayinga- Zaire- 1976|EBOV-May|Ebola virus (strain Zaire Mayinga)|Ebola virus strain Zaire Mayinga|Zaire ebolavirus - Mayinga (Zaire- 1976)|Zaire ebolavirus Mayinga strain,VP35|VP35_EBOZM
11078,Kunjin virus (STRAIN MRM61C),POLG|POLG_KUNJM
10553,Fowl aviadenovirus 1|CELO|Adenovirus a1|Aviadenovirus gal1|Avian adenovirus gal1|Avian adenovirus gal1 (STRAIN PHELPS)|Fowl adenovirus 1|Fowl adenovirus 1 (CELO- 112- Phelps)|Fowl adenovirus gal1|avian adenovirus CELO|fowl adenovirus gal1 (STRAIN PHELPS),GAM1|GAM1_ADEG1
928296,Borna disease virus-V|Borna disease virus (strain V)|Borna disease virus strain V,PHOSP|PHOSP_BDVV
928296,Borna disease virus-V|Borna disease virus (strain V)|Borna disease virus strain V,X|X_BDVV
10684,Bacillus phage PBS2|Bacteriophage PBS2|phage PBS2,UNGI|UNGI_BPPB2
512346,Hepatitis E virus human/g1/India/Hyderabad|Hepatitis E virus genotype 1 (isolate human/India/Hyderabad),POLN|POLN_HEVHY
334203,Mupapillomavirus 1|Human papillomavirus - 1|Human papillomavirus 1,NP|NP_597740
392809,Influenza A virus (A/Victoria/3/1975(H3N2))|Influenza A virus (A/Victoria/3/75(H3N2))|Influenza A virus (A/Victoria/3/75)|Influenza A virus (STRAIN A/VICTORIA/3/75),H9XIJ5|H9XIJ5_I75A3
337041,Alphapapillomavirus 9,A0A160CDL8|A0A160CDL8_9PAPI
11069,Dengue virus 3|Dengue virus serotype 3|Dengue virus type 3|dengue 3 virus,D0EPS2|D0EPS2_9FLAV
337042,Alphapapillomavirus 7|Human papillomavirus - 18|Human papillomavirus 18,NP|NP_040314
337042,Alphapapillomavirus 7|Human papillomavirus - 18|Human papillomavirus 18,NP|NP_040311
337042,Alphapapillomavirus 7|Human papillomavirus - 18|Human papillomavirus 18,NP|NP_040313
10298,Human alphaherpesvirus 1|HSV-1|HSV1|Herpes simplex virus 1|Human herpesvirus 1|Human herpesvirus type 1|herpes simplex virus 1 HSV-1|herpes simplex virus HSV-1|herpes simplex virus type 1 HSV-1|herpes simplex virus type 1 HSV1|herpes simplex virus type-1 HSV-1,Q9J0X9|Q9J0X9_HHV1
10515,Human adenovirus 2|Adenovirus 2|Adenovirus type 2|Human adenovirus C2|Human adenovirus type 2|Human mastadenovirus 2|Mastadenovirus 2|Mastadenovirus h2|adenovirus-2,DPOL|DPOL_ADE02
10515,Human adenovirus 2|Adenovirus 2|Adenovirus type 2|Human adenovirus C2|Human adenovirus type 2|Human mastadenovirus 2|Mastadenovirus 2|Mastadenovirus h2|adenovirus-2,E312|E312_ADE02
10515,Human adenovirus 2|Adenovirus 2|Adenovirus type 2|Human adenovirus C2|Human adenovirus type 2|Human mastadenovirus 2|Mastadenovirus 2|Mastadenovirus h2|adenovirus-2,DNB2|DNB2_ADE02
10515,Human adenovirus 2|Adenovirus 2|Adenovirus type 2|Human adenovirus C2|Human adenovirus type 2|Human mastadenovirus 2|Mastadenovirus 2|Mastadenovirus h2|adenovirus-2,SPIKE|SPIKE_ADE02
10515,Human adenovirus 2|Adenovirus 2|Adenovirus type 2|Human adenovirus C2|Human adenovirus type 2|Human mastadenovirus 2|Mastadenovirus 2|Mastadenovirus h2|adenovirus-2,E1A|E1A_ADE02
10515,Human adenovirus 2|Adenovirus 2|Adenovirus type 2|Human adenovirus C2|Human adenovirus type 2|Human mastadenovirus 2|Mastadenovirus 2|Mastadenovirus h2|adenovirus-2,ADP|ADP_ADE02
10515,Human adenovirus 2|Adenovirus 2|Adenovirus type 2|Human adenovirus C2|Human adenovirus type 2|Human mastadenovirus 2|Mastadenovirus 2|Mastadenovirus h2|adenovirus-2,CORE5|CORE5_ADE02
10515,Human adenovirus 2|Adenovirus 2|Adenovirus type 2|Human adenovirus C2|Human adenovirus type 2|Human mastadenovirus 2|Mastadenovirus 2|Mastadenovirus h2|adenovirus-2,E1B55|E1B55_ADE02
10515,Human adenovirus 2|Adenovirus 2|Adenovirus type 2|Human adenovirus C2|Human adenovirus type 2|Human mastadenovirus 2|Mastadenovirus 2|Mastadenovirus h2|adenovirus-2,E1BS|E1BS_ADE02
10515,Human adenovirus 2|Adenovirus 2|Adenovirus type 2|Human adenovirus C2|Human adenovirus type 2|Human mastadenovirus 2|Mastadenovirus 2|Mastadenovirus h2|adenovirus-2,E4RF5|E4RF5_ADE02
408686,Dengue virus 4 Philippines/H241/1956|Dengue virus type 4 Philippines/H241/1956,POLG|POLG_DEN4P
46925,Human adenovirus 23|Human adenovirus type 23,M0QUD6|M0QUD6_9ADEN
103929,Rabies virus strain Pasteur vaccin|Rabies virus (strain PV)|Rabies virus (strain Pasteur / PV),PHOSP|PHOSP_RABVP
103929,Rabies virus strain Pasteur vaccin|Rabies virus (strain PV)|Rabies virus (strain Pasteur / PV),MATRX|MATRX_RABVP
417296,Bovine immunodeficiency virus R29|Bovine immunodeficiency virus (isolate R29),ENV|ENV_BIV29
11082,West Nile virus|WNV,NP|NP_776014
11082,West Nile virus|WNV,NP|NP_776011
11082,West Nile virus|WNV,NP|NP_776015
11082,West Nile virus|WNV,Q8JU44|Q8JU44_WNV
11082,West Nile virus|WNV,POLG|POLG_WNV
11082,West Nile virus|WNV,Q5ERI7|Q5ERI7_WNV
11082,West Nile virus|WNV,NP|NP_776010
11082,West Nile virus|WNV,NP|NP_776022
353437,Influenza A virus (A/Canterbury/02/2005(H3N2)),Q2RBU1|Q2RBU1_9INFA
121791,Nipah henipavirus|Nipah virus|Nipah-virus,Q4VCP9|Q4VCP9_NIPAV
121791,Nipah henipavirus|Nipah virus|Nipah-virus,PHOSP|PHOSP_NIPAV
121791,Nipah henipavirus|Nipah virus|Nipah-virus,GLYCP|GLYCP_NIPAV
121791,Nipah henipavirus|Nipah virus|Nipah-virus,V|V_NIPAV
295027,Human herpesvirus 5 strain Merlin,US11|US11_HCMVM
295027,Human herpesvirus 5 strain Merlin,UL14|UL14_HCMVM
295027,Human herpesvirus 5 strain Merlin,IL10H|IL10H_HCMVM
295027,Human herpesvirus 5 strain Merlin,VIE1|VIE1_HCMVM
295027,Human herpesvirus 5 strain Merlin,VGLI|VGLI_HCMVM
295027,Human herpesvirus 5 strain Merlin,UL144|UL144_HCMVM
211044,Influenza A virus (A/Puerto Rico/8/1934(H1N1))|Influenza A virus (A/PR 8/34 (H1N1))|Influenza A virus (A/PR/8/1934(H1N1))|Influenza A virus (A/PR/8/34(H0N1))|Influenza A virus (A/PR/8/34(H1N1))|Influenza A virus (A/PR8/1934(H1N1))|Influenza A virus (A/Puerto Rico/8/1934(H0N1))|Influenza A virus (A/Puerto Rico/8/34(H1N1))|Influenza A virus (A/Puerto Rico/8/34)|Influenza A virus (STRAIN A/PUERTO RICO/8/34)|nfluenza A virus (A/PR 8/34(H1N1)),M2|M2_I34A1
211044,Influenza A virus (A/Puerto Rico/8/1934(H1N1))|Influenza A virus (A/PR 8/34 (H1N1))|Influenza A virus (A/PR/8/1934(H1N1))|Influenza A virus (A/PR/8/34(H0N1))|Influenza A virus (A/PR/8/34(H1N1))|Influenza A virus (A/PR8/1934(H1N1))|Influenza A virus (A/Puerto Rico/8/1934(H0N1))|Influenza A virus (A/Puerto Rico/8/34(H1N1))|Influenza A virus (A/Puerto Rico/8/34)|Influenza A virus (STRAIN A/PUERTO RICO/8/34)|nfluenza A virus (A/PR 8/34(H1N1)),NS1|NS1_I34A1
211044,Influenza A virus (A/Puerto Rico/8/1934(H1N1))|Influenza A virus (A/PR 8/34 (H1N1))|Influenza A virus (A/PR/8/1934(H1N1))|Influenza A virus (A/PR/8/34(H0N1))|Influenza A virus (A/PR/8/34(H1N1))|Influenza A virus (A/PR8/1934(H1N1))|Influenza A virus (A/Puerto Rico/8/1934(H0N1))|Influenza A virus (A/Puerto Rico/8/34(H1N1))|Influenza A virus (A/Puerto Rico/8/34)|Influenza A virus (STRAIN A/PUERTO RICO/8/34)|nfluenza A virus (A/PR 8/34(H1N1)),PA|PA_I34A1
211044,Influenza A virus (A/Puerto Rico/8/1934(H1N1))|Influenza A virus (A/PR 8/34 (H1N1))|Influenza A virus (A/PR/8/1934(H1N1))|Influenza A virus (A/PR/8/34(H0N1))|Influenza A virus (A/PR/8/34(H1N1))|Influenza A virus (A/PR8/1934(H1N1))|Influenza A virus (A/Puerto Rico/8/1934(H0N1))|Influenza A virus (A/Puerto Rico/8/34(H1N1))|Influenza A virus (A/Puerto Rico/8/34)|Influenza A virus (STRAIN A/PUERTO RICO/8/34)|nfluenza A virus (A/PR 8/34(H1N1)),PB2|PB2_I34A1
211044,Influenza A virus (A/Puerto Rico/8/1934(H1N1))|Influenza A virus (A/PR 8/34 (H1N1))|Influenza A virus (A/PR/8/1934(H1N1))|Influenza A virus (A/PR/8/34(H0N1))|Influenza A virus (A/PR/8/34(H1N1))|Influenza A virus (A/PR8/1934(H1N1))|Influenza A virus (A/Puerto Rico/8/1934(H0N1))|Influenza A virus (A/Puerto Rico/8/34(H1N1))|Influenza A virus (A/Puerto Rico/8/34)|Influenza A virus (STRAIN A/PUERTO RICO/8/34)|nfluenza A virus (A/PR 8/34(H1N1)),NCAP|NCAP_I34A1
