#DrugBank-ID,host-protein-ID,gene
3471,3944,PLA2G2A
7749,1202,CTRB1
8954,2187,GRIN1
8954,2188,GRIN2B
7078,910,CHEK1
1731,5670,WAS
7010,4164,MAPK1
7010,4172,MAPK10
6923,4206,PRSS1
714,2551,HTR2B
714,2547,HTR1D
714,10884,CALY
714,1421,DRD2
714,1422,DRD3
714,2546,HTR1B
714,145,ADRA2A
714,2550,HTR2A
714,1420,DRD1
714,2552,HTR2C
714,147,ADRA2C
714,1423,DRD4
714,146,ADRA2B
714,2545,HTR1A
1970,3790,PDE3B
8601,7796,NCOA2
8601,4678,RXRA
7117,3251,MMP9
3956,3956,PLCD1
6247,2175,GRIA1
6777,18170,GPBAR1
6777,1312,AKR1C2
6777,6468,NR1I2
6777,7349,NR1H4
7515,1661,F2
9085,4683,RYR1
9085,4684,RYR2
2546,12567,HDAC8
2546,7382,HDAC6
2546,6456,HDAC3
2546,2328,HDAC2
2546,2327,HDAC1
13928,2044,GLP1R
1228,4737,SCN5A
7252,1595,EPHB4
5983,3538,NFKBIA
2646,3143,MB
11362,4284,PTGIR
7801,5118,AURKA
1097,1692,PTK2B
1097,1349,DHODH
1097,179,AHR
5470,5404,TNF
5470,1142,MAPK14
5470,2675,IL1B
5470,2689,IL6
5297,488,BCL2
572,936,CHRNB2
572,926,CHRM3
572,928,CHRM5
572,2045,GLRA1
572,927,CHRM4
572,924,CHRM2
572,932,CHRNA4
572,923,CHRM1
3773,243,AMY2A
7793,4355,PYGM
154,4288,PTGS2
154,4287,PTGS1
670,923,CHRM1
7142,1347,DHFR
7460,4292,PTK2
3283,57,ACHE
6850,1661,F2
6850,4206,PRSS1
3257,5707,NA
8172,1349,DHODH
1401,4288,PTGS2
1401,4287,PTGS1
6972,2779,ITGAL
4227,5707,NA
346,2840,KCNH2
346,142,ADRA1A
346,143,ADRA1B
346,142,ADRA1D
4733,205,ALDOA
1692,5365,TK1
53,4187,PRLR
8056,2976,LCK
7897,1661,F2
7711,102,ADA
436,617,CA1
436,618,CA2
436,2859,KCNMA1
436,620,CA4
642,1948,GART
642,1347,DHFR
642,5549,TYMS
642,396,ATIC
1250,5445,TPMT
1250,2610,IFNG
9236,631,CACNA1C
71,2631,IGFBP7
71,3586,NOV
71,3045,LRP2
71,1084,CPE
71,2368,HLA-DQA2
71,3777,PCSK1
71,1205,CTSD
71,4419,RB1
71,2575,IDE
71,2369,HLA-DQB1
71,2621,IGF1R
71,2748,INSR
71,16277,SYTL4
71,3779,PCSK2
7712,1627,ESR1
7712,7796,NCOA2
2750,14163,EFTUD1
5931,2871,KDR
9070,1627,ESR1
