#virus-protein-id,virus-protein
189,I1YP38|I1YP38_EBVG
190,P88951|P88951_HHV8
191,O41970|O41970_MHV68
192,Q91NH1|Q91NH1_9FLAV
193,N2|N2_VACCW
194,DYR|DYR_HHV8P|DYR_SHV21
195,VFLIP|VFLIP_HHV8P
196,TRX1|TRX1_HHV11|TRX1_HHV8P
197,MATRX|MATRX_HRSVA
198,Q9E7P0|Q9E7P0_9FLAV
199,V5KTY7|V5KTY7_EBVG
200,O41925|O41925_MHV68
201,LMP1|LMP1_EBVB9|LMP1_EBVA8
202,A4ZNQ3|A4ZNQ3_I34A1
203,Q2PJP0|Q2PJP0_9INFA
204,Q3SBS5|Q3SBS5_9INFA
205,Q76RI2|Q76RI2_HHV8
206,ORF24|ORF24_HHV8P
207,Q3SBS4|Q3SBS4_9INFA
208,Q1K9H6|Q1K9H6_I33A0
209,Q20MD5|Q20MD5_I72A8
210,REX|REX_HTL1C|REX_HTLV2
211,E1A|E1A_ADE05|E1A_ADE02|E1A_ADE12
212,Q20MD0|Q20MD0_I72A8
213,B4URF6|B4URF6_I33A0
214,US9|US9_HHV11
215,P88995|P88995_MHV68
216,GC|GC_HHV11
217,X|X_HBVCJ
218,RPOA|RPOA_EAVBU
219,VPX|VPX_HV2BE|VPX_SIVG1
220,CVC2|CVC2_EBVA8|CVC2_HHV11
221,EBNA4|EBNA4_EBVB9|EBNA4_EBVA8
222,O41966|O41966_MHV68
223,BARF1|BARF1_EBVA8
224,Q6QCP6|Q6QCP6_HHV3
225,Q910R7|Q910R7_SV40
226,Q98VM1|Q98VM1_SV40
227,SHDAG|SHDAG_HDVD3
228,VCYCL|VCYCL_HHV8P
229,CORE5|CORE5_ADE05|CORE5_ADE02
230,Q20MD2|Q20MD2_I72A8
231,A5Z256|A5Z256_9INFA
232,P88931|P88931_HHV8
233,A27|A27_VACCW
234,Q20MC8|Q20MC8_I72A8
235,E7BBT6|E7BBT6_9PAPI
236,HBSAG|HBSAG_HBVCJ
237,Q6DP93|Q6DP93_9INFA
238,Q6QT26|Q6QT26_9INFA
239,Q77Q82|Q77Q82_HHV8
240,GE|GE_HHV11
241,Q9DHV5|Q9DHV5_YLDV
242,A41|A41_VACCW
243,TYSY|TYSY_HHV8P
244,K7|K7_HHV8P|K7_VACCW
245,NS7B|NS7B_CVHSA
246,ORF50|ORF50_HHV8P
247,ORF10|ORF10_HHV8P
248,CVC1|CVC1_HHV11
249,MCP|MCP_HHV11|MCP_HHV8P
250,MB43|MB43_HHV11
251,DPOL|DPOL_HBVCJ|DPOL_ADE02
252,TRM3|TRM3_EBVA8
253,O41941|O41941_MHV68
254,BZLF1|BZLF1_EBVA8|BZLF1_EBVB9
255,Q76Z97|Q76Z97_HPV18
256,Q778F3|Q778F3_9PAPI
257,C7E599|C7E599_HHV8
258,O41931|O41931_MHV68
259,VB18|VB18_VACCA
260,NS6|NS6_CVHSA
261,NS3B|NS3B_CVHSA
262,Q77UV1|Q77UV1_HHV8
263,Q9QLP4|Q9QLP4_9PAPI
264,Q6TUZ6|Q6TUZ6_YMTV5
265,K3|K3_VACCW
266,A0A2H4PJV3|A0A2H4PJV3_HHV2
267,VP40|VP40_EBOZ5|VP40_EBOZM
268,A0A0C7TA99|A0A0C7TA99_EBVG
269,O41957|O41957_MHV68
270,O41927|O41927_MHV68
271,O41947|O41947_MHV68
272,LTP|LTP_EBVA8|LTP_EBVB9|LTP_HHV11
273,E1B55|E1B55_ADE02|E1B55_ADE12|E1B55_ADE05
274,GAM1|GAM1_ADEG1
275,Q8B105|Q8B105_9FLAV
276,D0EPS2|D0EPS2_9FLAV
277,KTHY|KTHY_VACCW
278,Q9DUM9|Q9DUM9_HHV8
279,P88950|P88950_HHV8
280,VP16|VP16_HHV2H
281,O41964|O41964_MHV68
282,Q8JSN6|Q8JSN6_9INFA
283,P88996|P88996_MHV68
284,OBP|OBP_HHV11
285,CFLA|CFLA_MCV1|CFLA_EHV2
286,POL|POL_HTLV2
287,VGLI|VGLI_HCMVM
288,F1|F1_VACCW
289,UL144|UL144_HCMVM
290,VMI2|VMI2_HHV8P
291,P88962|P88962_HHV8
292,CGH2|CGH2_SHV21
293,G6|G6_VACCW
294,P88940|P88940_HHV8
295,Q87644|Q87644_SINDV
296,P88991|P88991_MHV68
297,P88986|P88986_MHV68
298,NSP4|NSP4_ROT41
299,Q49PX0|Q49PX0_9POXV
300,MT|MT_POVMA
301,P88933|P88933_HHV8
302,O56232|O56232_BLV
303,E434|E434_ADE12
304,Q30NB4|Q30NB4_9INFA
305,D0UZS3|D0UZS3_HHV8
306,AP|AP_000107
307,EBNA3|EBNA3_EBVB9|EBNA3_EBVA8
308,A0A220NMU2|A0A220NMU2_HPV16
309,SODL|SODL_VACCW
310,Q77M24|Q77M24_MEASZ
311,Q9J0X9|Q9J0X9_HHV1
312,MIR2|MIR2_HHV8P
313,US11|US11_HCMVM
314,P88990|P88990_MHV68
315,GK|GK_HHV11
316,C10|C10_VACCW
317,Q76RH5|Q76RH5_HHV8
318,GH|GH_HHV11
319,K15|K15_HHV8P
320,NEC2|NEC2_HHV11
321,P88911|P88911_HHV8
322,A0A1P7U033|A0A1P7U033_EBVA8
323,CAPSD|CAPSD_HBVCJ
324,RPMS1|RPMS1_EBVB9
325,ORF11|ORF11_HHV8P
326,O41951|O41951_MHV68
327,O41955|O41955_MHV68
328,DUT|DUT_EBVA8
329,O09720|O09720_HRSS2
330,P88987|P88987_MHV68
331,O41952|O41952_MHV68
332,B14|B14_VACCW
333,P90486|P90486_HHV8
334,P88970|P88970_HHV8
335,Q98822|Q98822_ADE41
336,A0A0C7TBS6|A0A0C7TBS6_EBVG
337,NS8A|NS8A_CVHSA
338,P88980|P88980_MHV68
